timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652475.2093408,52400,0,52400,1.683
1789652475.2176838,52410,0,52410,1.682
1789652475.2347267,52420,0,52420,1.682
1789652475.2424066,52430,0,52430,1.682
1789652475.2614784,52440,0,52440,1.682
1789652475.272742,52450,0,52450,1.682
1789652475.2880814,52460,0,52460,1.682
1789652475.2964654,52470,0,52470,1.682
1789652475.307525,52480,0,52480,1.682
1789652475.3206797,52490,0,52490,1.681
1789652475.3320475,52500,0,52500,1.681
1789652475.3420956,52510,0,52510,1.681
1789652475.3526871,52520,0,52520,1.681
1789652475.3595903,52530,0,52530,1.681
1789652475.3659508,52540,0,52540,1.681
1789652475.3718019,52550,0,52550,1.681
1789652475.3782797,52560,0,52560,1.681
1789652475.3843968,52570,0,52570,1.68
1789652475.4080613,52580,0,52580,1.68
1789652475.4171884,52590,0,52590,1.68
1789652475.4258413,52600,0,52600,1.68
1789652475.4350653,52610,0,52610,1.68
1789652475.4431522,52620,0,52620,1.68
1789652475.4520907,52630,0,52630,1.68
1789652475.4600387,52640,0,52640,1.68
1789652475.4673314,52650,0,52650,1.68
1789652475.4751146,52660,0,52660,1.68
1789652475.4818099,52670,0,52670,1.679
1789652475.4880738,52680,0,52680,1.679
1789652475.493483,52690,0,52690,1.679
1789652475.4985967,52700,0,52700,1.679
1789652475.5042639,52710,0,52710,1.679
1789652475.511889,52720,0,52720,1.679
1789652475.5248578,52730,0,52730,1.679
1789652475.5328786,52740,0,52740,1.679
1789652475.5413463,52750,0,52750,1.679
1789652475.5512338,52760,0,52760,1.679
1789652475.5639281,52770,0,52770,1.678
1789652475.5745392,52780,0,52780,1.678
1789652475.5866735,52790,0,52790,1.678
1789652475.597249,52800,0,52800,1.678
1789652475.6071532,52810,0,52810,1.678
1789652475.6143858,52820,0,52820,1.678
1789652475.6207817,52830,0,52830,1.678
1789652475.6279159,52840,0,52840,1.678
1789652475.6370149,52850,0,52850,1.678
1789652475.6463957,52860,0,52860,1.678
1789652475.6558235,52870,0,52870,1.678
1789652475.6767519,52880,0,52880,1.678
1789652475.691921,52890,0,52890,1.678
1789652475.7018948,52900,0,52900,1.678
1789652475.7100105,52910,0,52910,1.677
1789652475.7183633,52920,0,52920,1.677
1789652475.7248383,52930,0,52930,1.677
1789652475.7339299,52940,0,52940,1.677
1789652475.741383,52950,0,52950,1.677
1789652475.7472951,52960,0,52960,1.677
1789652475.7530322,52970,0,52970,1.677
1789652475.7589896,52980,0,52980,1.677
1789652475.7648377,52990,0,52990,1.677
1789652475.7719808,53000,0,53000,1.677
1789652475.7794864,53010,0,53010,1.677
1789652475.7860947,53020,0,53020,1.677
1789652475.791275,53030,0,53030,1.677
1789652475.7972124,53040,0,53040,1.677
1789652475.8037965,53050,0,53050,1.677
1789652475.8116279,53060,0,53060,1.677
1789652475.818791,53070,0,53070,1.677
1789652475.8250282,53080,0,53080,1.677
1789652475.8340826,53090,0,53090,1.676
1789652475.8561597,53100,0,53100,1.676
1789652475.8691456,53110,0,53110,1.676
